"Plot Title: RUT_JO_W3_20632238"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20632238, SEN S/N: 20632238)","Temp, °F (LGR S/N: 20632238, SEN S/N: 20632238)","Coupler Detached (LGR S/N: 20632238)","End Of File (LGR S/N: 20632238)"
1,03/14/22 10:30:00 AM,15.1071,43.831,Logged,
2,03/14/22 10:45:00 AM,15.1115,43.648,,
3,03/14/22 11:00:00 AM,15.1112,43.466,,
4,03/14/22 11:15:00 AM,15.1096,43.466,,
5,03/14/22 11:30:00 AM,15.1081,43.466,,
6,03/14/22 11:45:00 AM,15.1021,43.466,,
7,03/14/22 12:00:00 PM,15.0989,43.466,,
8,03/14/22 12:15:00 PM,15.1021,43.466,,
9,03/14/22 12:30:00 PM,15.0989,43.466,,
10,03/14/22 12:45:00 PM,15.0989,43.466,,
11,03/14/22 01:00:00 PM,15.0974,43.466,,
12,03/14/22 01:15:00 PM,15.0944,43.466,,
13,03/14/22 01:30:00 PM,15.0958,43.466,,
14,03/14/22 01:45:00 PM,15.0944,43.466,,
15,03/14/22 02:00:00 PM,15.0928,43.466,,
16,03/14/22 02:15:00 PM,15.0867,43.466,,
17,03/14/22 02:30:00 PM,15.0836,43.466,,
18,03/14/22 02:45:00 PM,15.0836,43.466,,
19,03/14/22 03:00:00 PM,15.0820,43.466,,
20,03/14/22 03:15:00 PM,15.0851,43.466,,
21,03/14/22 03:30:00 PM,15.0867,43.466,,
22,03/14/22 03:45:00 PM,15.0881,43.466,,
23,03/14/22 04:00:00 PM,15.0867,43.466,,
24,03/14/22 04:15:00 PM,15.0836,43.466,,
25,03/14/22 04:30:00 PM,15.0881,43.466,,
26,03/14/22 04:45:00 PM,15.0851,43.466,,
27,03/14/22 05:00:00 PM,15.0836,43.466,,
28,03/14/22 05:15:00 PM,15.0820,43.466,,
29,03/14/22 05:30:00 PM,15.0820,43.466,,
30,03/14/22 05:45:00 PM,15.0836,43.466,,
31,03/14/22 06:00:00 PM,15.0836,43.466,,
32,03/14/22 06:15:00 PM,15.0820,43.466,,
33,03/14/22 06:30:00 PM,15.0836,43.466,,
34,03/14/22 06:45:00 PM,15.0897,43.466,,
35,03/14/22 07:00:00 PM,15.0928,43.466,,
36,03/14/22 07:15:00 PM,15.0928,43.466,,
37,03/14/22 07:30:00 PM,15.0944,43.466,,
38,03/14/22 07:45:00 PM,15.0974,43.466,,
39,03/14/22 08:00:00 PM,15.0989,43.466,,
40,03/14/22 08:15:00 PM,15.0989,43.466,,
41,03/14/22 08:30:00 PM,15.0989,43.466,,
42,03/14/22 08:45:00 PM,15.0989,43.466,,
43,03/14/22 09:00:00 PM,15.0974,43.466,,
44,03/14/22 09:15:00 PM,15.1035,43.466,,
45,03/14/22 09:30:00 PM,15.1096,43.466,,
46,03/14/22 09:45:00 PM,15.1158,43.466,,
47,03/14/22 10:00:00 PM,15.1235,43.466,,
48,03/14/22 10:15:00 PM,15.1266,43.466,,
49,03/14/22 10:30:00 PM,15.1266,43.466,,
50,03/14/22 10:45:00 PM,15.1327,43.466,,
51,03/14/22 11:00:00 PM,15.1357,43.466,,
52,03/14/22 11:15:00 PM,15.1373,43.466,,
53,03/14/22 11:30:00 PM,15.1403,43.466,,
54,03/14/22 11:45:00 PM,15.1387,43.466,,
55,03/15/22 12:00:00 AM,15.1419,43.466,,
56,03/15/22 12:15:00 AM,15.1419,43.466,,
57,03/15/22 12:30:00 AM,15.1387,43.466,,
58,03/15/22 12:45:00 AM,15.1403,43.466,,
59,03/15/22 01:00:00 AM,15.1373,43.466,,
60,03/15/22 01:15:00 AM,15.1373,43.466,,
61,03/15/22 01:30:00 AM,15.1373,43.466,,
62,03/15/22 01:45:00 AM,15.1480,43.466,,
63,03/15/22 02:00:00 AM,15.1450,43.466,,
64,03/15/22 02:15:00 AM,15.1511,43.466,,
65,03/15/22 02:30:00 AM,15.1480,43.466,,
66,03/15/22 02:45:00 AM,15.1527,43.466,,
67,03/15/22 03:00:00 AM,15.1511,43.466,,
68,03/15/22 03:15:00 AM,15.1511,43.466,,
69,03/15/22 03:30:00 AM,15.1527,43.466,,
70,03/15/22 03:45:00 AM,15.1511,43.466,,
71,03/15/22 04:00:00 AM,15.1527,43.466,,
72,03/15/22 04:15:00 AM,15.1541,43.466,,
73,03/15/22 04:30:00 AM,15.1588,43.466,,
74,03/15/22 04:45:00 AM,15.1665,43.466,,
75,03/15/22 05:00:00 AM,15.1709,43.466,,
76,03/15/22 05:15:00 AM,15.1741,43.466,,
77,03/15/22 05:30:00 AM,15.1772,43.466,,
78,03/15/22 05:45:00 AM,15.1833,43.466,,
79,03/15/22 06:00:00 AM,15.1833,43.466,,
80,03/15/22 06:15:00 AM,15.1849,43.466,,
81,03/15/22 06:30:00 AM,15.1863,43.466,,
82,03/15/22 06:45:00 AM,15.1910,43.466,,
83,03/15/22 07:00:00 AM,15.1940,43.466,,
84,03/15/22 07:15:00 AM,15.1971,43.466,,
85,03/15/22 07:30:00 AM,15.2017,43.466,,
86,03/15/22 07:45:00 AM,15.2047,43.466,,
87,03/15/22 08:00:00 AM,15.2094,43.466,,
88,03/15/22 08:15:00 AM,15.2124,43.466,,
89,03/15/22 08:30:00 AM,15.2124,43.466,,
90,03/15/22 08:45:00 AM,15.2185,43.466,,
91,03/15/22 09:00:00 AM,15.2185,43.466,,
92,03/15/22 09:15:00 AM,15.2232,43.466,,
93,03/15/22 09:30:00 AM,15.2294,43.466,,
94,03/15/22 09:45:00 AM,15.2339,43.466,,
95,03/15/22 10:00:00 AM,15.2355,43.466,,
96,03/15/22 10:15:00 AM,15.2385,43.466,,
97,03/15/22 10:30:00 AM,15.2385,43.466,,
98,03/15/22 10:45:00 AM,15.2401,43.466,,
99,03/15/22 11:00:00 AM,15.2416,43.466,,
100,03/15/22 11:15:00 AM,15.2478,43.466,,
101,03/15/22 11:30:00 AM,15.2478,43.466,,
102,03/15/22 11:45:00 AM,15.2493,43.466,,
103,03/15/22 12:00:00 PM,15.2523,43.466,,
104,03/15/22 12:15:00 PM,15.2570,43.466,,
105,03/15/22 12:30:00 PM,15.2586,43.466,,
106,03/15/22 12:45:00 PM,15.2600,43.466,,
107,03/15/22 01:00:00 PM,15.2630,43.466,,
108,03/15/22 01:15:00 PM,15.2662,43.466,,
109,03/15/22 01:30:00 PM,15.2646,43.466,,
110,03/15/22 01:45:00 PM,15.2677,43.466,,
111,03/15/22 02:00:00 PM,15.2662,43.466,,
112,03/15/22 02:15:00 PM,15.2646,43.466,,
113,03/15/22 02:30:00 PM,15.2630,43.466,,
114,03/15/22 02:45:00 PM,15.2662,43.466,,
115,03/15/22 03:00:00 PM,15.2677,43.466,,
116,03/15/22 03:15:00 PM,15.2630,43.466,,
117,03/15/22 03:30:00 PM,15.2754,43.466,,
118,03/15/22 03:45:00 PM,15.2723,43.466,,
119,03/15/22 04:00:00 PM,15.2738,43.466,,
120,03/15/22 04:15:00 PM,15.2831,43.466,,
121,03/15/22 04:30:00 PM,15.2800,43.466,,
122,03/15/22 04:45:00 PM,15.2847,43.466,,
123,03/15/22 05:00:00 PM,15.2861,43.466,,
124,03/15/22 05:15:00 PM,15.2847,43.466,,
125,03/15/22 05:30:00 PM,15.2877,43.466,,
126,03/15/22 05:45:00 PM,15.2892,43.466,,
127,03/15/22 06:00:00 PM,15.2938,43.466,,
128,03/15/22 06:15:00 PM,15.2892,43.466,,
129,03/15/22 06:30:00 PM,15.2907,43.466,,
130,03/15/22 06:45:00 PM,15.2938,43.466,,
131,03/15/22 07:00:00 PM,15.2984,43.466,,
132,03/15/22 07:15:00 PM,15.3015,43.466,,
133,03/15/22 07:30:00 PM,15.3045,43.466,,
134,03/15/22 07:45:00 PM,15.3106,43.466,,
135,03/15/22 08:00:00 PM,15.3122,43.466,,
136,03/15/22 08:15:00 PM,15.3138,43.466,,
137,03/15/22 08:30:00 PM,15.3183,43.466,,
138,03/15/22 08:45:00 PM,15.3215,43.466,,
139,03/15/22 09:00:00 PM,15.3215,43.466,,
140,03/15/22 09:15:00 PM,15.3245,43.466,,
141,03/15/22 09:30:00 PM,15.3260,43.466,,
142,03/15/22 09:45:00 PM,15.3322,43.466,,
143,03/15/22 10:00:00 PM,15.3383,43.466,,
144,03/15/22 10:15:00 PM,15.3414,43.466,,
145,03/15/22 10:30:00 PM,15.3444,43.466,,
146,03/15/22 10:45:00 PM,15.3491,43.466,,
147,03/15/22 11:00:00 PM,15.3506,43.466,,
148,03/15/22 11:15:00 PM,15.3521,43.466,,
149,03/15/22 11:30:00 PM,15.3551,43.466,,
150,03/15/22 11:45:00 PM,15.3567,43.466,,
151,03/16/22 12:00:00 AM,15.3567,43.466,,
152,03/16/22 12:15:00 AM,15.3567,43.466,,
153,03/16/22 12:30:00 AM,15.3614,43.466,,
154,03/16/22 12:45:00 AM,15.3614,43.466,,
155,03/16/22 01:00:00 AM,15.3614,43.466,,
156,03/16/22 01:15:00 AM,15.3628,43.466,,
157,03/16/22 01:30:00 AM,15.3628,43.466,,
158,03/16/22 01:45:00 AM,15.3675,43.466,,
159,03/16/22 02:00:00 AM,15.3691,43.466,,
160,03/16/22 02:15:00 AM,15.3721,43.466,,
161,03/16/22 02:30:00 AM,15.3752,43.466,,
162,03/16/22 02:45:00 AM,15.3752,43.466,,
163,03/16/22 03:00:00 AM,15.3768,43.466,,
164,03/16/22 03:15:00 AM,15.3737,43.466,,
165,03/16/22 03:30:00 AM,15.3737,43.466,,
166,03/16/22 03:45:00 AM,15.3737,43.466,,
167,03/16/22 04:00:00 AM,15.3737,43.466,,
168,03/16/22 04:15:00 AM,15.3737,43.466,,
169,03/16/22 04:30:00 AM,15.3737,43.466,,
170,03/16/22 04:45:00 AM,15.3737,43.466,,
171,03/16/22 05:00:00 AM,15.3752,43.466,,
172,03/16/22 05:15:00 AM,15.3782,43.466,,
173,03/16/22 05:30:00 AM,15.3768,43.466,,
174,03/16/22 05:45:00 AM,15.3798,43.466,,
175,03/16/22 06:00:00 AM,15.3782,43.466,,
176,03/16/22 06:15:00 AM,15.3782,43.466,,
177,03/16/22 06:30:00 AM,15.3798,43.466,,
178,03/16/22 06:45:00 AM,15.3813,43.466,,
